county_UA,date,type,number
Barnsley,2020-03-13,total_cases,2
Barnsley,2020-03-14,total_cases,3
Barnsley,2020-03-15,total_cases,5
Barnsley,2020-03-16,total_cases,4
Barnsley,2020-03-17,total_cases,2
Barnsley,2020-03-18,total_cases,6
Barnsley,2020-03-19,total_cases,7
Barnsley,2020-03-20,total_cases,7
Barnsley,2020-03-21,total_cases,7
Barnsley,2020-03-22,total_cases,10
Barnsley,2020-03-23,total_cases,11
Barnsley,2020-03-24,total_cases,15
Barnsley,2020-03-25,total_cases,19
Barnsley,2020-03-26,total_cases,27
Barnsley,2020-03-27,total_cases,42
Barnsley,2020-03-28,total_cases,62
Barnsley,2020-03-29,total_cases,70
Barnsley,2020-03-30,total_cases,79
Barnsley,2020-03-31,total_cases,100
Barnsley,2020-04-01,total_cases,122
Barnsley,2020-04-02,total_cases,134
Barnsley,2020-04-03,total_cases,154
Barnsley,2020-04-04,total_cases,158
Barnsley,2020-04-05,total_cases,200
Barnsley,2020-04-06,total_cases,216
Barnsley,2020-04-07,total_cases,216
Barnsley,2020-04-08,total_cases,238
Bath and North East Somerset,2020-03-09,total_cases,0
Bath and North East Somerset,2020-03-10,total_cases,0
Bath and North East Somerset,2020-03-11,total_cases,0
Bath and North East Somerset,2020-03-12,total_cases,0
Bath and North East Somerset,2020-03-13,total_cases,0
Bath and North East Somerset,2020-03-14,total_cases,1
Bath and North East Somerset,2020-03-15,total_cases,2
Bath and North East Somerset,2020-03-16,total_cases,1
Bath and North East Somerset,2020-03-17,total_cases,3
Bath and North East Somerset,2020-03-18,total_cases,3
Bath and North East Somerset,2020-03-19,total_cases,4
Bath and North East Somerset,2020-03-20,total_cases,5
Bath and North East Somerset,2020-03-21,total_cases,11
Bath and North East Somerset,2020-03-22,total_cases,13
Bath and North East Somerset,2020-03-23,total_cases,16
Bath and North East Somerset,2020-03-24,total_cases,17
Bath and North East Somerset,2020-03-25,total_cases,20
Bath and North East Somerset,2020-03-26,total_cases,23
Bath and North East Somerset,2020-03-27,total_cases,26
Bath and North East Somerset,2020-03-28,total_cases,32
Bath and North East Somerset,2020-03-29,total_cases,36
Bath and North East Somerset,2020-03-30,total_cases,39
Bath and North East Somerset,2020-03-31,total_cases,41
Bath and North East Somerset,2020-04-01,total_cases,45
Bath and North East Somerset,2020-04-02,total_cases,52
Bath and North East Somerset,2020-04-03,total_cases,52
Bath and North East Somerset,2020-04-04,total_cases,58
Bath and North East Somerset,2020-04-05,total_cases,58
Bath and North East Somerset,2020-04-06,total_cases,66
Bath and North East Somerset,2020-04-07,total_cases,67
Bath and North East Somerset,2020-04-08,total_cases,77
Bedford,2020-03-09,total_cases,0
Bedford,2020-03-10,total_cases,0
Bedford,2020-03-11,total_cases,0
Bedford,2020-03-12,total_cases,0
Bedford,2020-03-13,total_cases,0
Bedford,2020-03-14,total_cases,0
Bedford,2020-03-15,total_cases,0
Bedford,2020-03-16,total_cases,0
Bedford,2020-03-17,total_cases,1
Bedford,2020-03-18,total_cases,1
Bedford,2020-03-19,total_cases,1
Bedford,2020-03-20,total_cases,1
Bedford,2020-03-21,total_cases,4
Bedford,2020-03-22,total_cases,4
Bedford,2020-03-23,total_cases,7
Bedford,2020-03-24,total_cases,7
Bedford,2020-03-25,total_cases,7
Bedford,2020-03-26,total_cases,10
Bedford,2020-03-27,total_cases,20
Bedford,2020-03-28,total_cases,25
Bedford,2020-03-29,total_cases,32
Bedford,2020-03-30,total_cases,34
Bedford,2020-03-31,total_cases,60
Bedford,2020-04-01,total_cases,60
Bedford,2020-04-02,total_cases,72
Bedford,2020-04-03,total_cases,74
Bedford,2020-04-04,total_cases,83
Bedford,2020-04-05,total_cases,97
Bedford,2020-04-06,total_cases,110
Bedford,2020-04-07,total_cases,120
Bedford,2020-04-08,total_cases,135
Bexley,2020-03-09,total_cases,0
Bexley,2020-03-10,total_cases,0
Bexley,2020-03-11,total_cases,0
Bexley,2020-03-12,total_cases,0
Bexley,2020-03-13,total_cases,1
Bexley,2020-03-14,total_cases,5
Bexley,2020-03-15,total_cases,7
Bexley,2020-03-16,total_cases,8
Bexley,2020-03-17,total_cases,14
Bexley,2020-03-18,total_cases,17
Bexley,2020-03-19,total_cases,22
Bexley,2020-03-20,total_cases,31
Bexley,2020-03-21,total_cases,37
Bexley,2020-03-22,total_cases,39
Bexley,2020-03-23,total_cases,43
Bexley,2020-03-24,total_cases,47
Bexley,2020-03-25,total_cases,59
Bexley,2020-03-26,total_cases,77
Bexley,2020-03-27,total_cases,85
Bexley,2020-03-28,total_cases,102
Bexley,2020-03-29,total_cases,119
Bexley,2020-03-30,total_cases,130
Bexley,2020-03-31,total_cases,137
Bexley,2020-04-01,total_cases,147
Bexley,2020-04-02,total_cases,190
Bexley,2020-04-03,total_cases,217
Bexley,2020-04-04,total_cases,221
Bexley,2020-04-05,total_cases,242
Bexley,2020-04-06,total_cases,250
Bexley,2020-04-07,total_cases,274
Bexley,2020-04-08,total_cases,303
Birmingham,2020-03-09,total_cases,1
Birmingham,2020-03-10,total_cases,1
Birmingham,2020-03-11,total_cases,2
Birmingham,2020-03-12,total_cases,2
Birmingham,2020-03-13,total_cases,2
Birmingham,2020-03-14,total_cases,5
Birmingham,2020-03-15,total_cases,8
Birmingham,2020-03-16,total_cases,15
Birmingham,2020-03-17,total_cases,20
Birmingham,2020-03-18,total_cases,25
Birmingham,2020-03-19,total_cases,34
Birmingham,2020-03-20,total_cases,54
Birmingham,2020-03-21,total_cases,75
Birmingham,2020-03-22,total_cases,91
Birmingham,2020-03-23,total_cases,137
Birmingham,2020-03-24,total_cases,187
Birmingham,2020-03-25,total_cases,228
Birmingham,2020-03-26,total_cases,290
Birmingham,2020-03-27,total_cases,366
Birmingham,2020-03-28,total_cases,428
Birmingham,2020-03-29,total_cases,513
Birmingham,2020-03-30,total_cases,578
Birmingham,2020-03-31,total_cases,650
Birmingham,2020-04-01,total_cases,734
Birmingham,2020-04-02,total_cases,852
Birmingham,2020-04-03,total_cases,984
Birmingham,2020-04-04,total_cases,1138
Birmingham,2020-04-05,total_cases,1246
Birmingham,2020-04-06,total_cases,1287
Birmingham,2020-04-07,total_cases,1372
Birmingham,2020-04-08,total_cases,1462
Blackburn with Darwen,2020-03-09,total_cases,0
Blackburn with Darwen,2020-03-10,total_cases,0
Blackburn with Darwen,2020-03-11,total_cases,0
Blackburn with Darwen,2020-03-12,total_cases,0
Blackburn with Darwen,2020-03-13,total_cases,0
Blackburn with Darwen,2020-03-14,total_cases,0
Blackburn with Darwen,2020-03-15,total_cases,0
Blackburn with Darwen,2020-03-16,total_cases,0
Blackburn with Darwen,2020-03-17,total_cases,1
Blackburn with Darwen,2020-03-18,total_cases,1
Blackburn with Darwen,2020-03-19,total_cases,1
Blackburn with Darwen,2020-03-20,total_cases,1
Blackburn with Darwen,2020-03-21,total_cases,1
Blackburn with Darwen,2020-03-22,total_cases,1
Blackburn with Darwen,2020-03-23,total_cases,1
Blackburn with Darwen,2020-03-24,total_cases,2
Blackburn with Darwen,2020-03-25,total_cases,3
Blackburn with Darwen,2020-03-26,total_cases,6
Blackburn with Darwen,2020-03-27,total_cases,7
Blackburn with Darwen,2020-03-28,total_cases,10
Blackburn with Darwen,2020-03-29,total_cases,12
Blackburn with Darwen,2020-03-30,total_cases,14
Blackburn with Darwen,2020-03-31,total_cases,20
Blackburn with Darwen,2020-04-01,total_cases,25
Blackburn with Darwen,2020-04-02,total_cases,37
Blackburn with Darwen,2020-04-03,total_cases,43
Blackburn with Darwen,2020-04-04,total_cases,52
Blackburn with Darwen,2020-04-05,total_cases,63
Blackburn with Darwen,2020-04-06,total_cases,71
Blackburn with Darwen,2020-04-07,total_cases,86
Blackburn with Darwen,2020-04-08,total_cases,92
Blackpool,2020-03-09,total_cases,0
Blackpool,2020-03-10,total_cases,0
Blackpool,2020-03-11,total_cases,0
Blackpool,2020-03-12,total_cases,2
Blackpool,2020-03-13,total_cases,2
Blackpool,2020-03-14,total_cases,1
Blackpool,2020-03-15,total_cases,3
Blackpool,2020-03-16,total_cases,2
Blackpool,2020-03-17,total_cases,3
Blackpool,2020-03-18,total_cases,4
Blackpool,2020-03-19,total_cases,3
Blackpool,2020-03-20,total_cases,5
Blackpool,2020-03-21,total_cases,5
Blackpool,2020-03-22,total_cases,6
Blackpool,2020-03-23,total_cases,6
Blackpool,2020-03-24,total_cases,8
Blackpool,2020-03-25,total_cases,8
Blackpool,2020-03-26,total_cases,8
Blackpool,2020-03-27,total_cases,9
Blackpool,2020-03-28,total_cases,10
Blackpool,2020-03-29,total_cases,10
Blackpool,2020-03-30,total_cases,18
Blackpool,2020-03-31,total_cases,18
Blackpool,2020-04-01,total_cases,27
Blackpool,2020-04-02,total_cases,28
Blackpool,2020-04-03,total_cases,41
Blackpool,2020-04-04,total_cases,50
Blackpool,2020-04-05,total_cases,66
Blackpool,2020-04-06,total_cases,72
Blackpool,2020-04-07,total_cases,85
Blackpool,2020-04-08,total_cases,94
Bolton,2020-03-09,total_cases,3
Bolton,2020-03-10,total_cases,3
Bolton,2020-03-11,total_cases,3
Bolton,2020-03-12,total_cases,3
Bolton,2020-03-13,total_cases,3
Bolton,2020-03-14,total_cases,3
Bolton,2020-03-15,total_cases,3
Bolton,2020-03-16,total_cases,3
Bolton,2020-03-17,total_cases,5
Bolton,2020-03-18,total_cases,7
Bolton,2020-03-19,total_cases,9
Bolton,2020-03-20,total_cases,13
Bolton,2020-03-21,total_cases,15
Bolton,2020-03-22,total_cases,17
Bolton,2020-03-23,total_cases,18
Bolton,2020-03-24,total_cases,19
Bolton,2020-03-25,total_cases,21
Bolton,2020-03-26,total_cases,25
Bolton,2020-03-27,total_cases,27
Bolton,2020-03-28,total_cases,33
Bolton,2020-03-29,total_cases,42
Bolton,2020-03-30,total_cases,47
Bolton,2020-03-31,total_cases,48
Bolton,2020-04-01,total_cases,51
Bolton,2020-04-02,total_cases,69
Bolton,2020-04-03,total_cases,80
Bolton,2020-04-04,total_cases,109
Bolton,2020-04-05,total_cases,133
Bolton,2020-04-06,total_cases,170
Bolton,2020-04-07,total_cases,185
Bolton,2020-04-08,total_cases,204
"Bournemouth, Christchurch and Poole",2020-03-09,total_cases,2
"Bournemouth, Christchurch and Poole",2020-03-10,total_cases,3
"Bournemouth, Christchurch and Poole",2020-03-11,total_cases,3
"Bournemouth, Christchurch and Poole",2020-03-12,total_cases,3
"Bournemouth, Christchurch and Poole",2020-03-13,total_cases,3
"Bournemouth, Christchurch and Poole",2020-03-14,total_cases,4
"Bournemouth, Christchurch and Poole",2020-03-15,total_cases,5
"Bournemouth, Christchurch and Poole",2020-03-16,total_cases,5
"Bournemouth, Christchurch and Poole",2020-03-17,total_cases,6
"Bournemouth, Christchurch and Poole",2020-03-18,total_cases,7
"Bournemouth, Christchurch and Poole",2020-03-19,total_cases,9
"Bournemouth, Christchurch and Poole",2020-03-20,total_cases,10
"Bournemouth, Christchurch and Poole",2020-03-21,total_cases,11
"Bournemouth, Christchurch and Poole",2020-03-22,total_cases,12
"Bournemouth, Christchurch and Poole",2020-03-23,total_cases,13
"Bournemouth, Christchurch and Poole",2020-03-24,total_cases,14
"Bournemouth, Christchurch and Poole",2020-03-25,total_cases,15
"Bournemouth, Christchurch and Poole",2020-03-26,total_cases,15
"Bournemouth, Christchurch and Poole",2020-03-27,total_cases,20
"Bournemouth, Christchurch and Poole",2020-03-28,total_cases,25
"Bournemouth, Christchurch and Poole",2020-03-29,total_cases,34
"Bournemouth, Christchurch and Poole",2020-03-30,total_cases,39
"Bournemouth, Christchurch and Poole",2020-03-31,total_cases,51
"Bournemouth, Christchurch and Poole",2020-04-01,total_cases,58
"Bournemouth, Christchurch and Poole",2020-04-02,total_cases,58
"Bournemouth, Christchurch and Poole",2020-04-03,total_cases,74
"Bournemouth, Christchurch and Poole",2020-04-04,total_cases,83
"Bournemouth, Christchurch and Poole",2020-04-05,total_cases,85
"Bournemouth, Christchurch and Poole",2020-04-06,total_cases,115
"Bournemouth, Christchurch and Poole",2020-04-07,total_cases,116
"Bournemouth, Christchurch and Poole",2020-04-08,total_cases,127
Bracknell Forest,2020-03-09,total_cases,2
Bracknell Forest,2020-03-10,total_cases,2
Bracknell Forest,2020-03-11,total_cases,2
Bracknell Forest,2020-03-12,total_cases,4
Bracknell Forest,2020-03-13,total_cases,4
Bracknell Forest,2020-03-14,total_cases,3
Bracknell Forest,2020-03-15,total_cases,5
Bracknell Forest,2020-03-16,total_cases,4
Bracknell Forest,2020-03-17,total_cases,3
Bracknell Forest,2020-03-18,total_cases,3
Bracknell Forest,2020-03-19,total_cases,3
Bracknell Forest,2020-03-20,total_cases,3
Bracknell Forest,2020-03-21,total_cases,3
Bracknell Forest,2020-03-22,total_cases,3
Bracknell Forest,2020-03-23,total_cases,3
Bracknell Forest,2020-03-24,total_cases,3
Bracknell Forest,2020-03-25,total_cases,3
Bracknell Forest,2020-03-26,total_cases,3
Bracknell Forest,2020-03-27,total_cases,16
Bracknell Forest,2020-03-28,total_cases,17
Bracknell Forest,2020-03-29,total_cases,19
Bracknell Forest,2020-03-30,total_cases,21
Bracknell Forest,2020-03-31,total_cases,21
Bracknell Forest,2020-04-01,total_cases,35
Bracknell Forest,2020-04-02,total_cases,36
Bracknell Forest,2020-04-03,total_cases,36
Bracknell Forest,2020-04-04,total_cases,45
Bracknell Forest,2020-04-05,total_cases,57
Bracknell Forest,2020-04-06,total_cases,69
Bracknell Forest,2020-04-07,total_cases,79
Bracknell Forest,2020-04-08,total_cases,79
Bradford,2020-03-09,total_cases,1
Bradford,2020-03-10,total_cases,1
Bradford,2020-03-11,total_cases,1
Bradford,2020-03-12,total_cases,3
Bradford,2020-03-13,total_cases,4
Bradford,2020-03-14,total_cases,4
Bradford,2020-03-15,total_cases,6
Bradford,2020-03-16,total_cases,7
Bradford,2020-03-17,total_cases,7
Bradford,2020-03-18,total_cases,8
Bradford,2020-03-19,total_cases,7
Bradford,2020-03-20,total_cases,9
Bradford,2020-03-21,total_cases,10
Bradford,2020-03-22,total_cases,11
Bradford,2020-03-23,total_cases,13
Bradford,2020-03-24,total_cases,14
Bradford,2020-03-25,total_cases,16
Bradford,2020-03-26,total_cases,23
Bradford,2020-03-27,total_cases,29
Bradford,2020-03-28,total_cases,37
Bradford,2020-03-29,total_cases,46
Bradford,2020-03-30,total_cases,63
Bradford,2020-03-31,total_cases,80
Bradford,2020-04-01,total_cases,95
Bradford,2020-04-02,total_cases,118
Bradford,2020-04-03,total_cases,135
Bradford,2020-04-04,total_cases,170
Bradford,2020-04-05,total_cases,185
Bradford,2020-04-06,total_cases,204
Bradford,2020-04-07,total_cases,222
Bradford,2020-04-08,total_cases,258
Brent,2020-03-09,total_cases,3
Brent,2020-03-10,total_cases,3
Brent,2020-03-11,total_cases,3
Brent,2020-03-12,total_cases,3
Brent,2020-03-13,total_cases,4
Brent,2020-03-14,total_cases,14
Brent,2020-03-15,total_cases,20
Brent,2020-03-16,total_cases,20
Brent,2020-03-17,total_cases,24
Brent,2020-03-18,total_cases,45
Brent,2020-03-19,total_cases,66
Brent,2020-03-20,total_cases,75
Brent,2020-03-21,total_cases,108
Brent,2020-03-22,total_cases,128
Brent,2020-03-23,total_cases,143
Brent,2020-03-24,total_cases,170
Brent,2020-03-25,total_cases,192
Brent,2020-03-26,total_cases,228
Brent,2020-03-27,total_cases,265
Brent,2020-03-28,total_cases,295
Brent,2020-03-29,total_cases,321
Brent,2020-03-30,total_cases,359
Brent,2020-03-31,total_cases,384
Brent,2020-04-01,total_cases,506
Brent,2020-04-02,total_cases,559
Brent,2020-04-03,total_cases,601
Brent,2020-04-04,total_cases,663
Brent,2020-04-05,total_cases,728
Brent,2020-04-06,total_cases,759
Brent,2020-04-07,total_cases,819
Brent,2020-04-08,total_cases,853
Brighton and Hove,2020-03-09,total_cases,8
Brighton and Hove,2020-03-10,total_cases,8
Brighton and Hove,2020-03-11,total_cases,8
Brighton and Hove,2020-03-12,total_cases,8
Brighton and Hove,2020-03-13,total_cases,9
Brighton and Hove,2020-03-14,total_cases,9
Brighton and Hove,2020-03-15,total_cases,10
Brighton and Hove,2020-03-16,total_cases,10
Brighton and Hove,2020-03-17,total_cases,9
Brighton and Hove,2020-03-18,total_cases,11
Brighton and Hove,2020-03-19,total_cases,12
Brighton and Hove,2020-03-20,total_cases,14
Brighton and Hove,2020-03-21,total_cases,17
Brighton and Hove,2020-03-22,total_cases,17
Brighton and Hove,2020-03-23,total_cases,17
Brighton and Hove,2020-03-24,total_cases,25
Brighton and Hove,2020-03-25,total_cases,25
Brighton and Hove,2020-03-26,total_cases,30
Brighton and Hove,2020-03-27,total_cases,33
Brighton and Hove,2020-03-28,total_cases,33
Brighton and Hove,2020-03-29,total_cases,33
Brighton and Hove,2020-03-30,total_cases,33
Brighton and Hove,2020-03-31,total_cases,44
Brighton and Hove,2020-04-01,total_cases,49
Brighton and Hove,2020-04-02,total_cases,50
Brighton and Hove,2020-04-03,total_cases,71
Brighton and Hove,2020-04-04,total_cases,73
Brighton and Hove,2020-04-05,total_cases,84
Brighton and Hove,2020-04-06,total_cases,85
Brighton and Hove,2020-04-07,total_cases,86
Brighton and Hove,2020-04-08,total_cases,153
"Bristol, City of",2020-03-09,total_cases,2
"Bristol, City of",2020-03-10,total_cases,2
"Bristol, City of",2020-03-11,total_cases,3
"Bristol, City of",2020-03-12,total_cases,3
"Bristol, City of",2020-03-13,total_cases,5
"Bristol, City of",2020-03-14,total_cases,4
"Bristol, City of",2020-03-15,total_cases,5
"Bristol, City of",2020-03-16,total_cases,7
"Bristol, City of",2020-03-17,total_cases,8
"Bristol, City of",2020-03-18,total_cases,12
"Bristol, City of",2020-03-19,total_cases,12
"Bristol, City of",2020-03-20,total_cases,13
"Bristol, City of",2020-03-21,total_cases,20
"Bristol, City of",2020-03-22,total_cases,23
"Bristol, City of",2020-03-23,total_cases,28
"Bristol, City of",2020-03-24,total_cases,37
"Bristol, City of",2020-03-25,total_cases,41
"Bristol, City of",2020-03-26,total_cases,51
"Bristol, City of",2020-03-27,total_cases,56
"Bristol, City of",2020-03-28,total_cases,65
"Bristol, City of",2020-03-29,total_cases,78
"Bristol, City of",2020-03-30,total_cases,92
"Bristol, City of",2020-03-31,total_cases,103
"Bristol, City of",2020-04-01,total_cases,117
"Bristol, City of",2020-04-02,total_cases,137
"Bristol, City of",2020-04-03,total_cases,156
"Bristol, City of",2020-04-04,total_cases,166
"Bristol, City of",2020-04-05,total_cases,167
"Bristol, City of",2020-04-06,total_cases,211
"Bristol, City of",2020-04-07,total_cases,211
"Bristol, City of",2020-04-08,total_cases,234
Bromley,2020-03-09,total_cases,1
Bromley,2020-03-10,total_cases,2
Bromley,2020-03-11,total_cases,2
Bromley,2020-03-12,total_cases,2
Bromley,2020-03-13,total_cases,4
Bromley,2020-03-14,total_cases,5
Bromley,2020-03-15,total_cases,7
Bromley,2020-03-16,total_cases,11
Bromley,2020-03-17,total_cases,23
Bromley,2020-03-18,total_cases,32
Bromley,2020-03-19,total_cases,40
Bromley,2020-03-20,total_cases,52
Bromley,2020-03-21,total_cases,63
Bromley,2020-03-22,total_cases,67
Bromley,2020-03-23,total_cases,76
Bromley,2020-03-24,total_cases,93
Bromley,2020-03-25,total_cases,125
Bromley,2020-03-26,total_cases,149
Bromley,2020-03-27,total_cases,188
Bromley,2020-03-28,total_cases,217
Bromley,2020-03-29,total_cases,268
Bromley,2020-03-30,total_cases,277
Bromley,2020-03-31,total_cases,295
Bromley,2020-04-01,total_cases,321
Bromley,2020-04-02,total_cases,366
Bromley,2020-04-03,total_cases,405
Bromley,2020-04-04,total_cases,434
Bromley,2020-04-05,total_cases,489
Bromley,2020-04-06,total_cases,521
Bromley,2020-04-07,total_cases,547
Bromley,2020-04-08,total_cases,583
Buckinghamshire,2020-03-09,total_cases,1
Buckinghamshire,2020-03-10,total_cases,2
Buckinghamshire,2020-03-11,total_cases,2
Buckinghamshire,2020-03-12,total_cases,4
Buckinghamshire,2020-03-13,total_cases,7
Buckinghamshire,2020-03-14,total_cases,13
Buckinghamshire,2020-03-15,total_cases,15
Buckinghamshire,2020-03-16,total_cases,12
Buckinghamshire,2020-03-17,total_cases,23
Buckinghamshire,2020-03-18,total_cases,27
Buckinghamshire,2020-03-19,total_cases,39
Buckinghamshire,2020-03-20,total_cases,39
Buckinghamshire,2020-03-21,total_cases,41
Buckinghamshire,2020-03-22,total_cases,44
Buckinghamshire,2020-03-23,total_cases,45
Buckinghamshire,2020-03-24,total_cases,50
Buckinghamshire,2020-03-25,total_cases,59
Buckinghamshire,2020-03-26,total_cases,66
Buckinghamshire,2020-03-27,total_cases,106
Buckinghamshire,2020-03-28,total_cases,115
Buckinghamshire,2020-03-29,total_cases,128
Buckinghamshire,2020-03-30,total_cases,140
Buckinghamshire,2020-03-31,total_cases,147
Buckinghamshire,2020-04-01,total_cases,195
Buckinghamshire,2020-04-02,total_cases,212
Buckinghamshire,2020-04-03,total_cases,222
Buckinghamshire,2020-04-04,total_cases,255
Buckinghamshire,2020-04-05,total_cases,268
Buckinghamshire,2020-04-06,total_cases,300
Buckinghamshire,2020-04-07,total_cases,329
Buckinghamshire,2020-04-08,total_cases,342
Bury,2020-03-09,total_cases,3
Bury,2020-03-10,total_cases,3
Bury,2020-03-11,total_cases,3
Bury,2020-03-12,total_cases,3
Bury,2020-03-13,total_cases,3
Bury,2020-03-14,total_cases,3
Bury,2020-03-15,total_cases,3
Bury,2020-03-16,total_cases,6
Bury,2020-03-17,total_cases,7
Bury,2020-03-18,total_cases,7
Bury,2020-03-19,total_cases,8
Bury,2020-03-20,total_cases,10
Bury,2020-03-21,total_cases,11
Bury,2020-03-22,total_cases,14
Bury,2020-03-23,total_cases,15
Bury,2020-03-24,total_cases,17
Bury,2020-03-25,total_cases,23
Bury,2020-03-26,total_cases,27
Bury,2020-03-27,total_cases,30
Bury,2020-03-28,total_cases,40
Bury,2020-03-29,total_cases,55
Bury,2020-03-30,total_cases,59
Bury,2020-03-31,total_cases,72
Bury,2020-04-01,total_cases,75
Bury,2020-04-02,total_cases,87
Bury,2020-04-03,total_cases,102
Bury,2020-04-04,total_cases,104
Bury,2020-04-05,total_cases,124
Bury,2020-04-06,total_cases,138
Bury,2020-04-07,total_cases,151
Bury,2020-04-08,total_cases,166
Calderdale,2020-03-09,total_cases,0
Calderdale,2020-03-10,total_cases,0
Calderdale,2020-03-11,total_cases,0
Calderdale,2020-03-12,total_cases,2
Calderdale,2020-03-13,total_cases,2
Calderdale,2020-03-14,total_cases,3
Calderdale,2020-03-15,total_cases,5
Calderdale,2020-03-16,total_cases,2
Calderdale,2020-03-17,total_cases,3
Calderdale,2020-03-18,total_cases,3
Calderdale,2020-03-19,total_cases,3
Calderdale,2020-03-20,total_cases,5
Calderdale,2020-03-21,total_cases,5
Calderdale,2020-03-22,total_cases,5
Calderdale,2020-03-23,total_cases,7
Calderdale,2020-03-24,total_cases,7
Calderdale,2020-03-25,total_cases,7
Calderdale,2020-03-26,total_cases,9
Calderdale,2020-03-27,total_cases,11
Calderdale,2020-03-28,total_cases,15
Calderdale,2020-03-29,total_cases,29
Calderdale,2020-03-30,total_cases,39
Calderdale,2020-03-31,total_cases,44
Calderdale,2020-04-01,total_cases,54
Calderdale,2020-04-02,total_cases,60
Calderdale,2020-04-03,total_cases,69
Calderdale,2020-04-04,total_cases,69
Calderdale,2020-04-05,total_cases,89
Calderdale,2020-04-06,total_cases,94
Calderdale,2020-04-07,total_cases,94
Calderdale,2020-04-08,total_cases,110
Cambridgeshire,2020-03-09,total_cases,0
Cambridgeshire,2020-03-10,total_cases,1
Cambridgeshire,2020-03-11,total_cases,1
Cambridgeshire,2020-03-12,total_cases,1
Cambridgeshire,2020-03-13,total_cases,1
Cambridgeshire,2020-03-14,total_cases,4
Cambridgeshire,2020-03-15,total_cases,7
Cambridgeshire,2020-03-16,total_cases,12
Cambridgeshire,2020-03-17,total_cases,12
Cambridgeshire,2020-03-18,total_cases,14
Cambridgeshire,2020-03-19,total_cases,15
Cambridgeshire,2020-03-20,total_cases,16
Cambridgeshire,2020-03-21,total_cases,17
Cambridgeshire,2020-03-22,total_cases,20
Cambridgeshire,2020-03-23,total_cases,30
Cambridgeshire,2020-03-24,total_cases,37
Cambridgeshire,2020-03-25,total_cases,41
Cambridgeshire,2020-03-26,total_cases,47
Cambridgeshire,2020-03-27,total_cases,68
Cambridgeshire,2020-03-28,total_cases,85
Cambridgeshire,2020-03-29,total_cases,100
Cambridgeshire,2020-03-30,total_cases,109
Cambridgeshire,2020-03-31,total_cases,129
Cambridgeshire,2020-04-01,total_cases,141
Cambridgeshire,2020-04-02,total_cases,166
Cambridgeshire,2020-04-03,total_cases,172
Cambridgeshire,2020-04-04,total_cases,191
Cambridgeshire,2020-04-05,total_cases,212
Cambridgeshire,2020-04-06,total_cases,222
Cambridgeshire,2020-04-07,total_cases,237
